Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-05,2000,January,27.38,28.87,25.54,28.74,19501.03,4.775792927451694
2000-01-12,2000,January,29.19,30.6,28.39,30.58,7299.55,5.266781411359722
2000-01-19,2000,January,32.31,32.6,31.78,31.91,7978.95,-0.9313877677739835
2000-02-02,2000,February,34.21,34.83,33.92,34.01,8383.32,-0.40995607613469875
2000-02-09,2000,February,34.8,35.49,34.55,34.78,7993.77,0.3172771848860778
2000-02-16,2000,February,35.13,35.49,34.43,34.73,4563.06,-0.8847031963470364
2000-02-23,2000,February,34.23,34.6,32.62,33.12,3516.46,-3.524614040198082
2000-03-01,2000,March,30.7,32.47,30.0,31.97,8349.42,1.977671451355656
2000-03-08,2000,March,24.36,25.07,23.15,23.62,5426.09,-4.987932421560737
2000-03-15,2000,March,22.15,23.88,22.15,23.88,7086.03,7.956600361663635
2000-03-22,2000,March,24.34,24.96,24.2,24.29,3837.52,0.330441966129702
2000-03-29,2000,March,28.69,28.99,27.03,27.15,7292.48,-3.825717321997879
2000-04-05,2000,April,30.25,31.48,28.1,30.3,17298.88,0.23155805491232861
2000-04-12,2000,April,35.93,36.23,33.62,33.62,8817.94,-6.036892118501969
2000-04-19,2000,April,30.1,32.45,30.1,31.73,11029.77,5.590682196339425
2000-04-26,2000,April,33.91,36.31,33.62,36.31,12950.72,8.001189767995264
2000-05-03,2000,May,33.01,33.61,31.61,33.22,9613.14,0.4535833081342533
2000-05-10,2000,May,33.17,33.69,32.53,32.74,5259.46,-1.2070006035002967
2000-05-17,2000,May,32.01,33.03,31.82,32.1,5952.29,0.5954246317768863
2000-05-24,2000,May,31.46,31.99,31.26,31.51,2913.83,-0.3793866582358474
2000-05-31,2000,May,34.63,35.98,34.43,34.6,7221.13,0.028910089621270174
2000-06-07,2000,June,34.13,34.63,33.85,33.97,3238.12,-0.32276995305163814
2000-06-14,2000,June,34.33,34.72,33.83,33.98,4281.32,-0.5851375073142262
2000-06-21,2000,June,33.32,33.62,33.02,33.07,2198.54,-0.6608591168519085
2000-06-28,2000,June,33.57,33.9,33.42,33.55,1434.44,-0.23788284269998794
2000-07-05,2000,July,34.79,36.18,34.79,35.49,13406.98,1.953461648951449
2000-07-12,2000,July,37.6,37.85,37.07,37.21,4640.9,-1.2735473600424485
2000-07-19,2000,July,36.04,36.49,35.49,35.56,4431.51,-1.6592920353982188
2000-07-26,2000,July,33.97,34.03,32.64,32.71,3177.23,-3.5387791212031727
2000-08-02,2000,August,33.92,34.18,33.83,34.1,1267.87,0.23515579071133885
2000-08-09,2000,August,33.36,33.97,33.36,33.7,1881.69,0.9284216831386694
2000-08-16,2000,August,33.14,34.31,33.14,33.98,3934.8,2.2262334536702566
2000-08-23,2000,August,34.08,34.82,34.04,34.14,3659.67,-0.02928257686676261
2000-08-30,2000,August,33.33,34.12,33.33,33.84,3567.23,1.2870398084406043
2000-09-06,2000,September,35.74,36.84,35.43,36.51,12088.43,1.954761239877123
2000-09-13,2000,September,38.66,39.16,37.46,37.9,8181.17,-2.294405774684194
2000-09-20,2000,September,34.33,35.23,33.95,34.87,3498.14,1.810218978102185
2000-09-27,2000,September,34.43,35.7,33.63,35.68,6358.13,3.1810294968189767
2000-10-04,2000,October,34.73,35.08,34.53,34.7,1409.31,0.0
2000-10-11,2000,October,33.72,33.72,32.98,33.24,1922.4,-1.4819205690574933
2000-10-18,2000,October,30.25,30.45,29.6,30.03,3130.89,-1.1195258478761905
2000-10-25,2000,October,29.55,30.55,29.39,30.4,4265.69,2.946156451066706
2000-11-01,2000,November,30.59,31.42,30.59,30.97,4569.51,1.4744429882044496
2000-11-08,2000,November,31.71,32.41,31.66,32.11,4983.44,1.581777918380256
2000-11-15,2000,November,31.42,31.93,31.18,31.57,3147.54,0.8304056212072863
2000-11-22,2000,November,31.21,31.32,31.0,31.01,1256.9,-0.44943820224717657
2000-11-29,2000,November,33.02,33.42,32.62,32.82,4427.24,-0.7859733978234473
2000-12-06,2000,December,34.3,34.71,33.85,33.92,3177.48,-0.7025761124121677
2000-12-13,2000,December,34.57,35.18,34.55,34.97,4801.69,0.9818076812012633
2000-12-20,2000,December,34.24,34.48,33.98,34.39,2995.05,0.35016049022467133
2000-12-27,2000,December,32.99,33.61,32.67,33.54,2331.9,1.4212276988206707
2001-01-03,2001,January,35.88,36.39,35.56,36.21,7403.91,0.6672226855713115
2001-01-10,2001,January,36.24,36.43,35.18,35.48,3920.47,-1.6629711751663057
2001-01-17,2001,January,37.24,37.3,36.3,36.43,3424.36,-1.9644779332615658
2001-01-24,2001,January,38.5,38.65,38.05,38.27,5641.58,-0.3385416666666585
2001-01-31,2001,January,39.21,39.36,38.59,38.67,6852.02,-1.477707006369422
2001-02-07,2001,February,40.08,40.16,39.47,39.64,3334.58,-0.7511266900350422
2001-02-14,2001,February,41.47,41.97,41.18,41.81,8238.31,1.1369134010643434
2001-02-21,2001,February,42.58,42.77,41.51,41.77,7047.96,-2.132146204311147
2001-02-28,2001,February,40.62,42.26,40.58,41.69,7932.64,2.8367044893931936
2001-03-07,2001,March,41.36,42.44,40.17,41.53,6921.74,0.7520621057738985
2001-03-14,2001,March,38.66,40.72,38.46,39.95,2850.35,1.965288412455335
2001-03-21,2001,March,37.7,40.66,37.65,40.53,2390.8,7.6494023904382535
2001-03-28,2001,March,39.55,40.76,39.55,40.52,1723.79,2.6602482898403945
2001-04-04,2001,April,39.16,39.16,38.05,38.57,1244.01,-1.8075356415478638
2001-04-11,2001,April,33.07,33.89,30.8,32.34,4760.67,-2.148260211800279
2001-04-18,2001,April,31.53,33.26,30.4,33.05,4522.46,4.160100850929704
2001-04-25,2001,April,35.33,36.64,35.33,36.25,2713.57,2.9244747302668905
2001-05-02,2001,May,34.28,34.86,33.88,34.48,1386.96,-0.1448016217781789
2001-05-09,2001,May,34.93,36.03,34.88,35.41,2878.5,1.6360505166475026
2001-05-16,2001,May,37.44,37.74,36.77,36.93,1788.39,-1.0715242432359995
2001-05-23,2001,May,37.95,38.55,37.95,38.34,1084.79,0.8947368421052815
2001-05-30,2001,May,40.76,40.92,39.26,39.32,2885.12,-3.343166175024581
2001-06-06,2001,June,37.69,37.89,36.66,36.83,1272.69,-1.8128499066915493
2001-06-13,2001,June,37.39,37.95,37.26,37.7,1401.77,1.0723860589812562
2001-06-20,2001,June,34.91,35.03,34.28,34.69,1598.0,-0.8006863025450395
2001-06-27,2001,June,34.76,36.22,34.54,36.08,2273.94,3.2922988834812372
2001-07-04,2001,July,32.21,33.42,32.21,32.82,2868.73,-0.6357856494096259
2001-07-11,2001,July,33.42,34.43,33.12,34.04,891.49,1.21914956883733
2001-07-18,2001,July,33.72,33.72,32.68,32.81,1473.98,-2.3221196784757425
2001-07-25,2001,July,31.61,31.79,31.04,31.26,895.71,-1.2010113780025256
2001-08-01,2001,August,32.01,32.46,31.45,31.68,1333.16,-1.5843429636533068
2001-08-08,2001,August,32.72,33.25,32.41,33.04,1205.7,-0.18126888217523396
2001-08-29,2001,August,31.61,32.26,31.31,32.08,2311.2,1.9707565162110585
2001-09-05,2001,September,31.52,31.8,31.17,31.34,619.07,-1.0419955794127023
2001-09-12,2001,September,29.29,30.35,28.44,30.15,1724.5,-1.8235102572452089
2001-09-19,2001,September,25.67,26.46,24.51,24.77,2564.99,-3.0148786217697676
2001-09-26,2001,September,21.14,22.83,21.14,22.83,3849.48,9.971098265895929
2001-10-03,2001,October,26.17,26.35,24.37,24.78,4999.71,-5.455932850057232
2001-10-10,2001,October,25.32,26.53,25.32,25.85,3777.28,1.6116352201257955
2001-10-17,2001,October,27.93,28.88,27.69,28.66,2748.47,4.484141450966095
2001-10-24,2001,October,27.88,27.94,26.56,26.72,2194.62,-3.4333212865919838
2001-10-31,2001,October,25.17,25.94,25.03,25.71,4077.9,1.1408339889850572
2001-11-07,2001,November,26.6,26.88,25.82,26.03,987.4,-1.7735849056603747
2001-11-14,2001,November,27.48,27.73,27.24,27.52,487.5,1.8881895594224263
2001-11-21,2001,November,29.3,30.42,29.01,29.59,2497.0,1.196990424076616
2001-11-28,2001,November,29.47,29.6,28.73,29.29,1488.76,-0.27238678924073056
2001-12-05,2001,December,30.69,31.76,30.6,31.62,1997.69,4.910418049104193
2001-12-12,2001,December,31.5,31.68,31.16,31.32,1279.97,0.19193857965451588
2001-12-19,2001,December,31.7,31.7,30.86,31.08,1918.21,-0.22471910112359383
2001-12-26,2001,December,31.06,31.5,30.6,30.81,745.7,-1.6283524904214586
2002-01-02,2002,January,30.8,30.8,30.3,30.55,682.14,-0.5857468272046806
2002-01-09,2002,January,32.21,33.76,31.91,33.04,4111.59,3.5412096521466596
2002-01-16,2002,January,32.52,32.87,31.85,32.22,719.64,-0.6169031462060492
2002-01-23,2002,January,31.51,31.91,31.33,31.67,526.97,0.7956715467854814
2002-01-30,2002,January,32.02,32.02,31.11,31.61,883.51,-0.8469259723964839
2002-02-06,2002,February,29.6,29.92,29.19,29.33,3214.19,-0.845165652467883
2002-02-13,2002,February,31.11,31.53,31.11,31.19,1309.33,0.19274012206875746
2002-02-20,2002,February,31.71,32.19,31.51,31.95,978.83,-1.052957572003721
2002-02-27,2002,February,32.69,33.27,32.07,32.69,4337.96,0.9262117937635095
2002-03-06,2002,March,31.71,31.86,30.83,30.94,2020.95,-1.9645120405576644
2002-03-13,2002,March,29.4,30.09,29.4,29.54,2091.35,0.5103776794828097
2002-03-20,2002,March,30.0,30.7,30.0,30.59,1704.41,1.4257294429708134
2002-03-27,2002,March,30.3,30.52,29.7,30.24,1469.6,0.06618133686300265
2002-04-03,2002,April,30.57,30.57,29.9,30.05,629.94,-1.6366612111292977
2002-04-10,2002,April,30.19,30.45,29.61,29.83,1483.47,-1.2251655629139102
2002-04-17,2002,April,29.2,29.44,29.09,29.2,578.87,0.3436426116838476
2002-04-24,2002,April,29.5,29.68,29.09,29.16,450.31,-0.3076923076923088
2002-05-08,2002,May,29.64,29.78,29.06,29.18,1148.79,-1.1517615176151796
2002-05-15,2002,May,28.64,28.88,28.2,28.5,434.56,-0.31479538300105414
2002-05-22,2002,May,26.37,26.67,25.68,26.05,1279.71,-1.400454201362611
2002-05-29,2002,May,26.02,26.83,26.02,26.69,823.49,1.9480519480519431
2002-06-05,2002,June,27.64,27.93,27.41,27.59,992.36,0.40029112081514384
2002-06-12,2002,June,29.04,29.17,28.6,28.82,525.11,-0.7575757575757569
2002-06-19,2002,June,28.4,29.07,28.1,28.88,1221.5,1.3689013689013763
2002-06-26,2002,June,27.08,27.33,26.69,26.89,1419.95,-2.3956442831216007
2002-07-03,2002,July,26.88,27.5,26.88,26.99,1330.95,0.37188545927853145
2002-07-10,2002,July,27.85,28.09,27.61,27.93,1198.42,0.2512562814070307
2002-07-17,2002,July,25.94,26.02,25.37,25.53,1878.05,-1.3523956723338393
2002-07-24,2002,July,25.67,25.84,25.17,25.26,1114.99,-2.282398452611223
2002-07-31,2002,July,24.84,24.97,24.28,24.66,1584.77,-0.7246376811594235
2002-08-07,2002,August,24.66,24.84,24.16,24.26,1660.25,-0.24671052631578538
2002-08-14,2002,August,24.26,24.52,23.97,24.02,1370.45,-1.5170151701517032
2002-08-21,2002,August,24.97,25.28,24.66,24.69,910.74,-1.5550239234449648
2002-08-28,2002,August,24.76,24.83,24.56,24.72,401.12,-0.3225806451612967
2002-09-04,2002,September,26.48,27.26,26.3,27.07,2240.0,1.614114114114118
2002-09-11,2002,September,26.43,26.43,25.82,25.91,913.58,-1.1823035850495711
2002-09-18,2002,September,26.4,26.4,25.97,26.03,728.18,-1.289343951459987
2002-09-25,2002,September,25.37,25.76,25.27,25.71,737.8,0.3512880562060783
2002-10-09,2002,October,24.5,24.51,23.92,23.97,737.46,-1.6817063166529977
2002-10-16,2002,October,24.52,24.87,24.36,24.52,1042.22,0.6568144499178974
2002-10-23,2002,October,23.86,23.93,23.66,23.74,1329.8,-1.8196856906534387
2002-10-30,2002,October,23.34,23.73,23.34,23.57,1872.63,1.594827586206904
2002-11-13,2002,November,26.48,26.75,26.21,26.46,5183.07,0.7232584697373534
2002-11-20,2002,November,27.38,27.97,27.21,27.49,4130.38,0.6959706959706935
2002-11-27,2002,November,29.28,29.5,28.81,28.95,3548.32,-1.5306122448979553
2002-12-04,2002,December,28.99,29.62,28.86,29.46,5156.63,0.6835269993164639
2002-12-11,2002,December,29.7,29.9,29.24,29.45,2378.13,-0.33840947546531774
2002-12-18,2002,December,29.62,29.78,29.05,29.13,1763.9,-1.6210739614994973
2003-01-01,2003,January,30.2,30.39,29.91,29.96,1814.76,-0.033366700033354846
2003-01-08,2003,January,28.87,29.29,28.72,29.11,1088.15,1.393242772553105
2003-01-15,2003,January,29.59,29.71,28.94,29.31,2049.71,-1.1467116357504192
2003-01-22,2003,January,29.5,29.94,29.3,29.8,1609.82,1.3260795647738854
2003-01-29,2003,January,28.19,28.28,27.33,27.5,1716.46,-2.065527065527062
2003-02-05,2003,February,28.31,28.59,27.96,28.49,1295.1,0.6358177322500769
2003-02-12,2003,February,28.46,28.48,28.04,28.33,1177.24,-0.3517411185367636
2003-02-19,2003,February,29.28,29.47,29.14,29.22,613.99,0.1370801919122755
2003-02-26,2003,February,29.85,30.0,29.33,29.4,1872.53,-1.1099899091826515
2003-03-05,2003,March,29.38,29.38,29.1,29.1,2700.9,-1.1884550084889534
2003-03-12,2003,March,28.99,28.99,27.96,27.96,1473.13,-2.781641168289295
2003-03-19,2003,March,28.35,28.78,28.29,28.72,1748.92,2.0248667850799373
2003-03-26,2003,March,28.81,28.99,28.45,28.61,904.16,-0.625217089267105
2003-04-02,2003,April,28.44,28.84,28.29,28.37,1503.95,0.03526093088859206
2003-04-09,2003,April,29.84,29.84,29.04,29.04,2160.27,-2.6483405967147156
2003-04-16,2003,April,28.19,28.74,28.19,28.55,1124.91,0.03503854239663706
2003-04-23,2003,April,26.58,28.63,26.58,27.24,8442.41,-2.505368647100936
2003-04-30,2003,April,27.38,27.79,27.33,27.67,997.05,0.6914119359534343
2003-05-07,2003,May,27.06,27.18,26.67,26.71,1327.99,-1.584377302873985
2003-05-14,2003,May,26.37,26.88,26.37,26.82,998.05,1.8609950626661709
2003-05-21,2003,May,27.48,27.58,27.17,27.33,1212.04,-0.2918642831083562
2003-05-28,2003,May,28.29,29.14,28.29,29.03,1763.2,2.797450424929182
2003-06-04,2003,June,29.39,30.47,29.38,30.32,1860.99,3.199455411844787
2003-06-11,2003,June,30.72,31.09,30.52,30.97,995.97,1.574286651361101
2003-06-18,2003,June,32.52,32.52,31.99,31.99,2004.62,-1.3263417643430087
2003-06-25,2003,June,32.31,32.94,32.21,32.57,2411.4,1.1176653213287757
2003-07-02,2003,July,33.03,33.62,32.74,32.93,3667.33,0.39634146341465115
2003-07-09,2003,July,32.87,33.06,32.54,32.84,1362.28,0.18303843807199183
2003-07-16,2003,July,34.08,34.87,33.7,34.7,2321.46,2.17903415783276
2003-07-23,2003,July,33.77,33.92,32.97,33.22,1574.57,-1.2778603268944977
2003-07-30,2003,July,35.23,35.6,34.89,35.06,1970.05,0.1428163381891112
2003-08-06,2003,August,34.73,35.86,34.53,35.33,4135.38,1.2320916905444124
2003-08-13,2003,August,36.24,36.5,35.82,36.4,1685.95,1.4492753623188248
2003-08-20,2003,August,37.45,37.7,36.99,37.09,1628.49,-0.37604082728980304
2003-08-27,2003,August,39.47,39.91,39.32,39.57,1818.71,0.43147208121827596
2003-09-03,2003,September,42.18,42.28,40.78,40.99,2422.32,-2.474423031168216
2003-09-10,2003,September,43.79,43.79,43.74,43.74,2111.31,-0.7037457434733163
2003-09-17,2003,September,41.73,42.05,40.5,40.81,3362.14,-1.0186757215619568
2003-09-24,2003,September,41.78,43.36,41.53,43.1,4073.83,3.4069097888675737
2003-10-01,2003,October,44.6,44.84,43.6,43.75,2187.54,-2.1252796420581754
2003-10-08,2003,October,45.78,46.28,45.15,45.98,2135.32,1.1216186496591174
2003-10-15,2003,October,46.94,48.62,46.9,48.32,3606.73,2.8085106382978786
2003-10-22,2003,October,47.81,47.81,47.31,47.31,2746.39,0.44585987261147597
2003-10-29,2003,October,46.95,47.81,46.56,47.66,1846.34,1.707212974818595
2003-11-05,2003,November,49.82,49.82,49.19,49.19,2804.06,-0.28380295965944047
2003-11-12,2003,November,49.32,49.48,48.49,48.64,2432.66,0.16474464579900872
2003-11-19,2003,November,46.79,47.01,46.17,46.36,2364.58,-1.1303049690765676
2003-12-03,2003,December,50.52,50.89,49.63,49.96,4288.01,-1.1084718923198733
2003-12-10,2003,December,48.94,50.59,48.92,50.18,6066.1,2.596606011040703
2003-12-17,2003,December,50.86,51.13,50.35,50.5,3271.35,-0.5905511811023612
2003-12-24,2003,December,52.75,53.66,52.5,53.25,2442.18,1.139601139601143
2003-12-31,2003,December,56.6,58.59,56.52,57.68,5896.62,2.1427306534443025
2004-01-07,2004,January,57.48,58.63,57.08,58.35,3333.75,2.0104895104894993
2004-01-14,2004,January,59.39,60.32,59.39,60.14,2949.35,1.6737109044801413
2004-01-21,2004,January,57.57,58.31,55.09,55.51,3887.03,-3.6619229434224243
2004-01-28,2004,January,58.88,59.31,57.3,58.22,4176.02,-0.5466347796378557
2004-02-04,2004,February,55.98,57.88,55.36,57.63,3780.41,2.9842744817726974
2004-02-11,2004,February,59.91,59.97,58.55,59.11,3452.43,-1.02143335565974
2004-02-18,2004,February,60.5,61.45,60.4,60.84,5793.36,1.0967098703888345
2004-02-25,2004,February,57.17,57.18,55.62,55.8,3594.88,-2.122434660585859
2004-03-03,2004,March,57.28,58.71,56.8,58.42,4407.52,2.2222222222222365
2004-03-10,2004,March,58.59,58.59,57.62,57.62,2308.66,-1.8900051081219171
2004-03-17,2004,March,54.83,55.59,53.92,54.33,4456.47,-0.45804323928179125
2004-03-24,2004,March,51.54,51.87,50.91,51.68,4067.77,0.5447470817120603
2004-03-31,2004,March,53.2,54.36,52.8,54.16,2466.82,2.0538910872432536
2004-04-07,2004,April,58.33,58.44,57.38,57.75,1963.87,-0.017313019390574613
2004-04-21,2004,April,55.72,57.3,55.37,57.19,2108.53,2.859712230215816
2004-04-28,2004,April,54.25,55.26,54.06,54.39,3237.18,0.23958717287135833
2004-05-05,2004,May,53.55,53.74,53.05,53.34,2331.22,-0.1310615989514985
2004-05-12,2004,May,49.33,50.28,48.62,49.99,2933.54,1.3995943204868189
2004-05-19,2004,May,44.54,46.91,44.19,45.53,6142.81,4.306987399770912
2004-05-26,2004,May,46.31,47.1,45.83,46.22,3610.06,0.719110917411192
2004-06-02,2004,June,43.89,44.57,43.81,44.26,2535.31,1.28146453089244
2004-06-09,2004,June,45.57,46.16,45.32,45.42,2581.08,-1.0241882763129206
2004-06-16,2004,June,45.58,45.85,44.56,44.92,2251.51,-1.057268722466953
2004-06-23,2004,June,43.77,43.77,41.38,41.38,4949.65,-4.764096662830841
2004-06-30,2004,June,44.7,44.95,43.12,43.25,4197.83,-3.0703720304795956
2004-07-07,2004,July,43.91,44.57,43.81,44.13,3267.19,0.022665457842263592
2004-07-14,2004,July,43.39,43.39,42.07,42.07,3334.13,-2.9079159935379573
2004-07-21,2004,July,43.29,44.29,43.28,43.73,2438.02,1.4146567717996383
2004-07-28,2004,July,47.0,47.82,46.66,47.36,3822.47,1.1749626148258807
2004-08-04,2004,August,49.23,49.78,48.68,49.64,3182.1,0.750964075502325
2004-08-11,2004,August,48.99,50.13,48.08,48.31,3060.04,-3.3993201359727943
2004-08-18,2004,August,48.31,48.31,47.36,47.36,2445.17,-1.9258645682335929
2004-08-25,2004,August,45.83,46.16,45.33,46.09,3147.66,0.9638554216867545
2004-09-01,2004,September,48.12,48.25,47.67,47.88,1574.49,0.020889910173393922
2004-09-08,2004,September,49.13,49.13,48.57,48.57,1708.15,-0.4713114754098302
2004-09-15,2004,September,48.92,49.53,48.78,49.09,1715.47,0.3475061324611728
2004-09-22,2004,September,51.11,51.24,50.33,50.66,2213.38,-0.6861399725544004
2004-09-29,2004,September,49.96,52.04,49.71,51.75,3908.05,3.603603603603589
2004-10-06,2004,October,53.89,55.96,53.89,55.04,3943.76,1.3254786450662692
2004-10-20,2004,October,57.08,57.08,55.2,55.2,3540.19,-2.075572112825963
2004-10-27,2004,October,55.67,55.86,54.24,54.48,2631.76,-1.9085343896291018
2004-11-03,2004,November,54.7,55.01,54.21,54.73,1373.14,0.14638609332113806
2004-11-10,2004,November,54.41,55.04,54.41,54.78,1149.25,0.8097165991902688
2004-11-17,2004,November,54.91,55.27,54.48,54.75,1425.66,-0.1823154056517784
2004-11-24,2004,November,52.48,52.84,51.24,51.84,3528.91,-2.519744264761181
2004-12-01,2004,December,52.4,53.63,52.35,53.18,3262.44,2.229911572472121
2004-12-08,2004,December,51.63,52.75,50.99,51.11,3176.31,-1.8625192012288738
2004-12-15,2004,December,51.31,51.31,49.83,49.83,2880.23,-2.0251671254423953
2004-12-22,2004,December,49.09,50.21,48.83,49.8,4468.75,1.903007980356053
2004-12-29,2004,December,53.3,54.19,53.04,53.48,2829.75,0.6019563581640242
2005-01-05,2005,January,52.9,53.76,51.97,53.34,4198.61,-0.16844469399213136
2005-01-12,2005,January,52.45,53.44,51.84,52.18,3583.68,-1.3797013797013702
2005-01-19,2005,January,51.84,52.15,51.44,51.66,3180.17,0.3691470759665805
2005-02-02,2005,February,55.06,55.12,52.75,53.74,2036.31,-1.6111314536799592
2005-02-09,2005,February,53.86,54.36,53.79,54.07,921.43,0.7077668094617184
2005-02-16,2005,February,54.38,54.73,53.66,53.83,1421.22,-0.7741935483871032
2005-02-23,2005,February,54.25,55.35,54.16,55.17,2048.92,1.5461071231363865
2005-03-02,2005,March,54.56,55.52,54.56,55.25,1780.94,0.38154069767442067
2005-03-09,2005,March,59.9,60.48,58.8,59.13,3153.85,-0.5215343203230027
2005-03-16,2005,March,57.28,58.13,57.13,57.74,2402.6,0.5222841225626773
2005-03-23,2005,March,54.46,57.42,54.35,55.68,6577.22,1.5873015873015817
2005-03-30,2005,March,55.37,55.82,54.28,54.66,2916.33,-1.0857763300760048
2005-04-06,2005,April,56.0,57.63,56.0,57.46,2617.46,2.7171969967822784
2005-04-13,2005,April,55.37,55.66,54.67,54.91,980.98,-0.5613908004346246
2005-04-20,2005,April,51.84,53.54,51.84,53.37,1697.49,3.130434782608682
